,BARRA,DESCRIPCIÓN,PRESENTACION,,,,LABORATORIO,PRECIO VENTA,FRACCION,,,
100012332,7898587770705,NUTRISSE COR INTENSO 7.3 RUBIO DORADO,KIT,5700,5700,0.16,LOREAL COLOMBIA S.A.,1.45%,0,,,
100015915,7899026462687,NUTRISSE COR INTENSO 8.0 RUBIO CLARO,UN,5700,5700,0.16,LOREAL COLOMBIA S.A.,1.45%,0,,,
200001995,7898587770668,NUTRISSE COR INTENSO 8.1 RUBIO CEN.CLARO,KIT,5700,5700,0.16,LOREAL COLOMBIA S.A.,1.45%,0,,,
200001056,7707354010039,CONTROL FIT 60 CAPSULAS,FCO,21400,19260,0.16,MADISSON COLOMBIA LTDA.,1.50%,0,,,
200001061,7707354010138,CONTROL FIT GOLD 60 CAPSULAS,FCO,21400,19260,0.16,MADISSON COLOMBIA LTDA.,1.50%,0,,,
200001062,7707354010176,CONTROL FIT MALTEADA 250 GR,TAR,16558,16558,0,MADISSON COLOMBIA LTDA.,1.50%,0,,,
200016857,7707354010084,CONTROL FIT PLATINUM 60 CAPSULAS,FCO,21400,19260,0.16,MADISSON COLOMBIA LTDA.,1.50%,0,,,
200016853,7707296100089,APOSITO OCULAR GOLY ADULTOS 20 UDS,CJ,7759,7759,0,MARYDDAN MEDICA LTDA,1.10%,0,,,
200028713,7707296100096,APOSITO OCULAR GOLY NINOS 20 UDS,CJ,7759,7759,0,MARYDDAN MEDICA LTDA,1.10%,0,,,
200001067,40000032373,CHOCOLATE M Y M MILK MINIS TUBES 30 GR,TBO,1509,1509,0.16,MASTERFOODS COLOMBIA LTDA,1.50%,0,,,
200001058,40000000310,CHOCOLATE M Y M MILK PLAIN 48 GR,UN,1103,1509,0.16,MASTERFOODS COLOMBIA LTDA,1.50%,0,,,
200014254,40000000327,CHOCOLATE M Y M PEANUT 49 GR,UN,1103,1509,0.16,MASTERFOODS COLOMBIA LTDA,1.50%,0,,,
200028189,40000422068,CHOCOLATE MILKY WAY 52 GR,UN,1103,1103,0.16,MASTERFOODS COLOMBIA LTDA,1.50%,0,,,
200016858,40000424314,CHOCOLATE SNICKERS 52 GR,UN,1103,1103,0.16,MASTERFOODS COLOMBIA LTDA,1.50%,0,,,
100015046,7506205804359,ENFAGROW PREMIUM 400 GR (M),TAR,31664,31664,0,MEAD JOHNSON NUTRITION,0.5%-,0,,,
100015047,7506205807459,ENFAGROW PREMIUM 850 GR,UN,68779,68779,0,MEAD JOHNSON NUTRITION,0.3%-,0,,,
100016217,7506205807466,ENFAGROW PREMIUM 850 VAINILLA 850 GR,UN,68779,68779,0,MEAD JOHNSON NUTRITION,0.3%-,0,,,
100002477,7506205804366,ENFAGROW PREMIUM CAJA 1200 GR (A),CJ,84093,84093,0,MEAD JOHNSON NUTRITION,0.6%-,0,,,
100002479,7506205806100,ENFAGROW PREMIUM CAJA 1800 GR,CJ,117469,117469,0,MEAD JOHNSON NUTRITION,0.3%-,0,,,
100002478,7506205807206,ENFAGROW PREMIUM LIQUIDA 200 ML,CJ,4011,4011,0,MEAD JOHNSON NUTRITION,0.5%,0,,,
100017601,7506205805127,ENFAGROW PREMIUM PREESCOLAR 1200 GR (A),TAR,77185,77185,0,MEAD JOHNSON NUTRITION,0.6%-,0,,,
100002424,7506205806735,ENFAGROW PREMIUM PREESCOLAR 1800 GR,CJ,108269,108269,0,MEAD JOHNSON NUTRITION,0.6%-,0,,,
100002520,7506205804397,ENFAGROW PREMIUM VAINILL 400 GR (M,TAR,31664,31664,0,MEAD JOHNSON NUTRITION,0.3%-,0,,,
100002486,7506205804403,ENFAGROW PREMIUM VAINILLA 1200 GR (A),CJ,84093,84093,0,MEAD JOHNSON NUTRITION,0.6%-,0,,,
100002485,7506205806117,ENFAGROW PREMIUM VAINILLA CAJA 1800 GR,CJ,117469,117469,0,MEAD JOHNSON NUTRITION,0.3%-,0,,,
100009551,7506205801259,ENFAMIL 1 CON HIERRO 400 GR,TAR,25286,25286,0,MEAD JOHNSON NUTRITION,0.1%,0,,,
100002487,7506205801266,ENFAMIL 1 CON HIERRO 900 GR,TAR,52354,52354,0,MEAD JOHNSON NUTRITION,0.7%-,0,,,
100009988,7503013040771,ENFAMIL 2 CON HIERRO 400 GR,TAR,24905,24905,0,MEAD JOHNSON NUTRITION,0.1%,0,,,
100002517,7503013040788,ENFAMIL 2 CON HIERRO 900 GR,TAR,51566,51566,0,MEAD JOHNSON NUTRITION,D69,0,,,
100002454,7503013040795,ENFAMIL AR PREMIUM 400 GR (M),TAR,50865,50865,0,MEAD JOHNSON NUTRITION,0.1%,0,,,
100009990,7503013040801,ENFAMIL AR PREMIUM 900 GR (M),TAR,100894,100894,0,MEAD JOHNSON NUTRITION,0.5%-,0,,,
100002453,7506205800979,ENFAMIL PREMIUM 1 400 GR,TAR,42673,42673,0,MEAD JOHNSON NUTRITION,0.5%-,0,,,
100009989,7506205807435,ENFAMIL PREMIUM 1 850 GR,UN,90019,90019,0,MEAD JOHNSON NUTRITION,0.5%-,0,,,
100002546,7506205801365,ENFAMIL PREMIUM 1 CAJA 1200 GR (A),CJ,110129,84787,0,MEAD JOHNSON NUTRITION,1.22%,0,,,
100002545,7506205807107,ENFAMIL PREMIUM 1 LIQUIDA 237 ML,FCO,5537,5537,0,MEAD JOHNSON NUTRITION,0.5%,0,,,
100002642,7506205800993,ENFAMIL PREMIUM 2 400 GR,TAR,39047,39047,0,MEAD JOHNSON NUTRITION,0.5%-,0,,,
100002644,7506205807442,ENFAMIL PREMIUM 2 850 GR,UN,82492,82492,0,MEAD JOHNSON NUTRITION,0.7%-,0,,,
100002640,7506205801389,ENFAMIL PREMIUM 2 CAJA 1200 GR (A) (M),CJ,98483,76840,0,MEAD JOHNSON NUTRITION,1.23%,0,,,
100002637,7506205807138,ENFAMIL PREMIUM 2 LIQUIDA 237 ML,FCO,4633,4633,0,MEAD JOHNSON NUTRITION,0.5%,0,,,
100002460,7503013040139,ENFAMIL PREMIUM CONFORT 400 GR (M),TAR,52581,52581,0,MEAD JOHNSON NUTRITION,0.5%-,0,,,
100002461,7503013040146,ENFAMIL PREMIUM CONFORT 900 GR (A) (M),TAR,105834,105834,0,MEAD JOHNSON NUTRITION,0.2%-,0,,,
100013203,7506205806926,ENFAMIL PREMIUM CONFORT CAJA 1200 GR,CJ,135658,135658,0,MEAD JOHNSON NUTRITION,0.3%-,0,,,
100013204,7506205804038,ENFAMIL PREMIUM ENFACARE 363 GR (M),TAR,52501,52501,0,MEAD JOHNSON NUTRITION,0.3%-,0,,,
100015072,7506205801143,ENFAMIL PREMIUM SIN LACTOSA 400 GR (M),TAR,54267,54267,0,MEAD JOHNSON NUTRITION,0.7%-,0,,,
100013994,7861184500266,NUTRAMIGEN PREMIUM LGG 357 GR,TAR,63149,63149,0,MEAD JOHNSON NUTRITION,0.3%-,0,,,
100002463,7503013040689,SUSTAGEN CHOCOLATE 400 GR,UN,20563,18077,0.16,MEAD JOHNSON NUTRITION,1.27%,0,,,
100014340,7503013040719,SUSTAGEN FRESA 400 GR,UN,20563,20563,0.16,MEAD JOHNSON NUTRITION,1.27%,0,,,
100011217,7503013040658,SUSTAGEN VAINILLA 400 GR,UN,20563,20563,0.16,MEAD JOHNSON NUTRITION,1.27%,0,,,
100002574,7707249020044,FRASCO RECOLECTOR DE ORINA 24 HORAS,FCO,4494,4494,0.16,MEDICAL NISSI SAS,1.50%,0,,,
100002433,7707352130159,GEL ANTIBACTERIAL NEUTROLOGY 150 ML,FCO,4857,4156,0.16,MEDICAL SERVICE GROUP LTD,1.40%,0,,,
100015495,7707364802006,ALGODON LAMINADO 3X5 MEDICAL SUPPLIES,UN,989,832,0,MEDICAL SUPPLIES CORP S.A,1.20%,0,,,
100016216,7707364802013,ALGODON LAMINADO MEDICAL 4X5,UN,1306,1099,0,MEDICAL SUPPLIES CORP S.A,1.20%,0,,,
100017562,7707364802020,ALGODON LAMINADO MEDICAL 5X5,UN,1635,1375,0,MEDICAL SUPPLIES CORP S.A,1.20%,0,,,
100016227,7707364802037,ALGODON LAMINADO MEDICAL 6X5,UN,1966,1653,0,MEDICAL SUPPLIES CORP S.A,1.20%,0,,,
100019844,7704412100046,ACETAMINOFEN 150 MG JARABE 120 ML MP,FCO,2753,2753,0,MEMPHIS PRODUCTS,1.30%,0,,,
100018634,7704412070882,ACICLOVIR UNGUENTO TOPICO 15 GR MP,CJ,3594,3594,0,MEMPHIS PRODUCTS,1.30%,0,,,
100018633,7704412100404,ACIDO ACETILSALICILICO 100 MG 100 TBS MP,CJ,6898,6898,0,MEMPHIS PRODUCTS,1.30%,0,,,
100018295,7704412100121,ACIDO FUSIDICO CREMA 15 GR MP,CJ,4494,4494,0,MEMPHIS PRODUCTS,1.30%,0,,,
100019801,7704412100527,ALENDRONATO 70 MG 4 TBS MP,CJ,2797,2797,0,MEMPHIS PRODUCTS,1.50%,0,,,
100021946,7704412080607,ALOPURINOL 100 MG 30 TBS MP,CJ,4250,4250,0,MEMPHIS PRODUCTS,1.30%,0,,,
100019444,7704412080867,ALOPURINOL 300 MG 30 TBS MP,CJ,5231,5231,0,MEMPHIS PRODUCTS,1.30%,0,,,
100019181,7704412100640,AMLODIPINO 10 MG 10 TABLETAS MP,CJ,856,856,0,MEMPHIS PRODUCTS,1.30%,0,,,
100018682,7704412100633,AMLODIPINO 5 MG 10 TABLETAS MP,CJ,613,613,0,MEMPHIS PRODUCTS,1.30%,0,,,
100019668,7704412100312,AMOXICILINA 250 MG SUSPENSION 90 ML MP,FCO,2555,2555,0,MEMPHIS PRODUCTS,1.30%,0,,,
100020626,7704412100817,ATORVASTATINA 20 MG 10 TABLETAS MP,CJ,1973,1973,0,MEMPHIS PRODUCTS,1.80%,0,,,
100021821,7704412100824,AZITROMICINA 500 MG 3 TABLETAS MP,CJ,3046,3046,0,MEMPHIS PRODUCTS,1.30%,0,,,
100021822,7704412117037,BETAMETASONA 0.05% CREMA 40 GR MP,TBO,5046,5046,0,MEMPHIS PRODUCTS,1.30%,0,,,
100021820,7704412119819,BETAMETASONA 0.1% UNGUENTO 20 GR MP,CJ,3768,3768,0,MEMPHIS PRODUCTS,1.30%,0,,,
100021825,7704412406001,CARBAMAZEPINA 100MG SUSPENSION 120 ML MP,FCO,3193,3193,0,MEMPHIS PRODUCTS,1.30%,0,,,
100021823,7704412040724,CARBAMAZEPINA 200 MG 30 TBS MP,CJ,2526,2526,0,MEMPHIS PRODUCTS,1.30%,0,,,
100021912,7704412118300,CARBIDOPA LEVODOPA 25/250MG 30 TBS MP,CJ,14961,14961,0,MEMPHIS PRODUCTS,1.60%,0,,,
100020289,7704412100145,CEFALEXINA 250 MG SUSPENSION 60 ML MP,CJ,3726,3726,0,MEMPHIS PRODUCTS,1.30%,0,,,
100021791,7704412118690,CEFALEXINA 500 MG 10 CAP.MP,CJ,3028,3028,0,MEMPHIS PRODUCTS,1.30%,0,,,
100021922,7704412118898,CETIRIZINA 1% GOTAS 15 ML MP,FCO,6505,6505,0,MEMPHIS PRODUCTS,1.50%,0,,,
100021923,7704412118881,CETIRIZINA DICLORHIDRATO JBE 60 ML MP,FCO,2925,2925,0,MEMPHIS PRODUCTS,1.50%,0,,,
100021924,7704412118966,CIPROFLOXACINA 0.3% GOTAS OFTAL.5 ML MP,FCO,4752,4752,0,MEMPHIS PRODUCTS,1.90%,0,,,
100021925,7704412477957,CLARITROMICINA 500 MG 10 TBS MP,CJ,10517,10517,0,MEMPHIS PRODUCTS,1.20%,0,,,
100021772,7704412118928,CLINDAMICINA 300 MG 24 CAPSULAS MP,CJ,10538,10538,0,MEMPHIS PRODUCTS,1.30%,0,,,
100021827,7704412118942,CLOPIDOGREL 75 MG 14 TABLETAS MP,CJ,4533,4533,0,MEMPHIS PRODUCTS,1.50%,0,,,
100021828,7704412118539,CLOTRIMAZOL 1% CREMA TOPICA 40 GR MP,TBO,4140,4140,0,MEMPHIS PRODUCTS,1.30%,0,,,
100021826,7704412478527,CLOTRIMAZOL 1% SOLUCION TOPICA 30 ML MP,FCO,1360,1360,0,MEMPHIS PRODUCTS,1.30%,0,,,
100021944,7704412118430,COLCHICINA 0.5 MG 40 TABLETAS MP,CJ,3321,3321,0,MEMPHIS PRODUCTS,1.30%,0,,,
100022062,7704412139985,DEXAM+POLIM+NEOMI.SOL.OFTALMICA 5 ML MP,GTS,3098,3098,0,MEMPHIS PRODUCTS,1.80%,0,,,
200001996,7704412855069,DICLOFENACO 1% GEL 50 GR MP,TBO,4790,4790,0,MEMPHIS PRODUCTS,1.30%,0,,,
100016282,7704412854079,DICLOFENACO 50 MG 30 TABLETAS MP,CJ,1863,1863,0,MEMPHIS PRODUCTS,1.30%,0,,,
200005303,7704412142817,DICLOFENACO SODICO 1% GOTAS 5 ML MP,GTS,3514,3514,0,MEMPHIS PRODUCTS,1.90%,0,,,
200005304,7704412142916,DICLOXACILINA 250 MG SUSP.80 ML MP,CJ,4137,4137,0,MEMPHIS PRODUCTS,1.30%,0,,,
200005305,7704412142930,DICLOXACILINA 500 MG 50 CAPSULAS MP,CJ,12007,12007,0,MEMPHIS PRODUCTS,1.30%,0,,,
200005307,7704412143500,DOXICICLINA 100 MG 10 TBS MP,CJ,1741,1741,0,MEMPHIS PRODUCTS,1.50%,0,,,
200005308,7704412086548,ENALAPRIL MALEATO 20 MG 20 TBS MP,CJ,1366,1366,0,MEMPHIS PRODUCTS,1.40%,0,,,
200005309,7704412152847,FLUCONAZOL 150 MG 10 CAP MP,CJ,5109,5109,0,MEMPHIS PRODUCTS,1.50%,0,,,
200005310,7704412175075,FLUNARIZINA 10 MG 20 TABLETAS MP,CJ,1373,1373,0,MEMPHIS PRODUCTS,1.50%,0,,,
200005311,7704412159143,GENTAMICINA 0.3% OFTAL.5 ML MP,GTS,3170,3170,0,MEMPHIS PRODUCTS,1.50%,0,,,
200005312,7704412159259,HALOPERIDOL 10 MG 20 TABLETAS MP,CJ,5892,5892,0,MEMPHIS PRODUCTS,1.30%,0,,,
200005313,7704412159280,HALOPERIDOL 5 MG 20 TABLETAS MP,CJ,3383,3383,0,MEMPHIS PRODUCTS,1.30%,0,,,
200005314,7704412159389,HIDROCLOROTIAZIDA 25 MG 30 TBS ML MP,CJ,3312,1419,0,MEMPHIS PRODUCTS,1.50%,0,,,
200024543,7704412121096,HIDROCORTISONA 1% CREMA TUBO 20 GR MP,CJ,4073,4073,0,MEMPHIS PRODUCTS,1.30%,0,,,
200031560,7704412159969,HIDROXICINA 25 MG 20 TABLETAS MP,CJ,1756,1756,0,MEMPHIS PRODUCTS,1.30%,0,,,
200031561,7704412808287,IBUPROFENO 2% SUSPENSION 120 ML MP,FCO,2938,2938,0,MEMPHIS PRODUCTS,1.30%,0,,,
200031562,7704412807525,IBUPROFENO 400 MG 60 TBS RECIBIERTAS MP,CJ,3253,3253,0,MEMPHIS PRODUCTS,1.50%,0,,,
200031558,7704412806870,IBUPROFENO 600 MG 60 TBS MP,CJ,5559,5559,0,MEMPHIS PRODUCTS,1.50%,0,,,
200025110,7704412161801,IBUPROFENO 800 MG 60 TABLETAS MP,CJ,4258,4258,0,MEMPHIS PRODUCTS,1.20%,0,,,
200027924,7704412165601,LEVOCETIRIZINA 5 MG 10 TABLETAS MP,CJ,6121,6121,0,MEMPHIS PRODUCTS,1.50%,0,,,
100001337,7704412260016,LORATADINA 10 MG 10 TBS MP,CJ,710,852,0,MEMPHIS PRODUCTS,1.60%,0,,,
100001338,7704412165854,LOSARTAN 100 MG 30 TABLETAS MP,CJ,8516,8516,0,MEMPHIS PRODUCTS,1.50%,0,,,
100001332,7704412165816,LOSARTAN 50 MG 30 TBS MP,CJ,3678,3678,0,MEMPHIS PRODUCTS,1.90%,0,,,
100001267,7704412167230,MELOXICAM 15 MG 10 AMPOLLAS MP,CJ,15328,15328,0,MEMPHIS PRODUCTS,1.30%,0,,,
100001271,7704412135437,MELOXICAM 15 MG 10 TABLETAS MP,CJ,2959,2959,0,MEMPHIS PRODUCTS,1.50%,0,,,
100001311,7704412100282,MELOXICAM 7.5 MG 10 TABLETAS MP,CJ,2369,2369,0,MEMPHIS PRODUCTS,1.50%,0,,,
100001342,7704412186446,METFORMINA 850 MG 30 TBS MP,CJ,5914,5914,0,MEMPHIS PRODUCTS,1.50%,0,,,
100001343,7704412079663,METILDOPA 250 MG 30 TBS MP,CJ,5886,5886,0,MEMPHIS PRODUCTS,1.70%,0,,,
100001268,7704412500013,METOCARBAMOL 750 MG 10 TABLETAS MP,CJ,1609,1609,0,MEMPHIS PRODUCTS,1.40%,0,,,
100001315,7704412167148,METOCLOPRAMIDA 10 MG 30 TBS MP,CJ,2448,2448,0,MEMPHIS PRODUCTS,1.30%,0,,,
100001261,7704412167254,METOPROLOL 100 MG 30 TABLETAS MP,CJ,2299,2129,0,MEMPHIS PRODUCTS,1.20%,0,,,
100001314,7704412167124,METOPROLOL 50 MG 30 TBS MP,CJ,2367,2367,0,MEMPHIS PRODUCTS,1.30%,0,,,
100001262,7704412828551,METRONIDAZOL 125 MG SUSP 120 ML MP,FCO,2720,2720,0,MEMPHIS PRODUCTS,1.80%,0,,,
100001263,7704412135444,MONTELUKAST 4 MG 10 TABLETAS MP,CJ,10602,10602,0,MEMPHIS PRODUCTS,1.30%,0,,,
100001258,7704412170896,PAMOATO PIRANTEL SUSP 15 ML MP,FCO,1419,1419,0,MEMPHIS PRODUCTS,1.30%,0,,,
100001257,7704412658097,PIROXICAM GEL 0.5% 40 GR MP,TBO,5556,5556,0,MEMPHIS PRODUCTS,1.40%,0,,,
100001270,7704412002005,SALBUTAMOL JARABE 120 ML MP,FCO,1656,1656,0,MEMPHIS PRODUCTS,1.50%,0,,,
100001324,7704412004085,SECNIDAZOL 500 MG 4 TABLETAS MP,CJ,1691,1691,0,MEMPHIS PRODUCTS,1.30%,0,,,
100001285,7704412179295,SILDENAFIL 50 MG 2 TABLETAS MP,CJ,1048,1048,0,MEMPHIS PRODUCTS,1.40%,0,,,
100007767,7704412186057,SULFADIAZINA DE PLATA 30 GR MP,CJ,2621,2621,0,MEMPHIS PRODUCTS,1.40%,0,,,
100001312,7704412186385,TIMOLOL MALEATO 0.5% 5 ML MP,GTS,5577,5577,0,MEMPHIS PRODUCTS,1.40%,0,,,
100001309,7704412167049,TINIDAZOL 1 GR 4 TABLETAS MP,CJ,1405,1405,0,MEMPHIS PRODUCTS,1.30%,0,,,
100001284,7704412256033,TINIDAZOL 500 MG 8 TBS MP,CJ,1043,1043,0,MEMPHIS PRODUCTS,1.40%,0,,,
100001304,7704412186477,TRAMADOL 100 MG 10 AMPOLLAS MP,CJ,7664,7664,0,MEMPHIS PRODUCTS,1.50%,0,,,
100001303,7704412265776,TRAMADOL 100 MG GOTAS 10 ML MP,FCO,1904,1656,0,MEMPHIS PRODUCTS,1.30%,0,,,
100001306,7704412186583,TRAMADOL 50 MG 10 AMPOLLAS MP,CJ,7569,7569,0,MEMPHIS PRODUCTS,1.30%,0,,,
100001307,7704412265028,TRAMADOL 50 MG 10 CAPSULAS  MP,CJ,4157,4157,0,MEMPHIS PRODUCTS,1.30%,0,,,
100009477,7704412186408,TRIMEBUTINA 200 MG 30 TABLETAS MP,CJ,6166,6166,0,MEMPHIS PRODUCTS,1.20%,0,,,
100001279,7704412296053,TRIMETOPRIM SULFA F 160/800 MG 20 TBS MP,CJ,2746,2543,0,MEMPHIS PRODUCTS,1.40%,0,,,
100001313,7704412350571,VERAPAMILO 120 MG 30 TABLETAS MP,CJ,3704,3704,0,MEMPHIS PRODUCTS,1.20%,0,,,
100001310,7704412351073,VERAPAMILO 80 MG 50 GRAGEAS MP,CJ,4731,4731,0,MEMPHIS PRODUCTS,1.20%,0,,,
100008100,7702418000018,ANEMIDOX 20 CAPSULAS (M),CJ,48755,46880,0,MERCK S.A.,0.7%-,0,,,
100009193,7702418002708,ANEMIDOX PEDIATRICO GOTAS 30 ML (T) (M),FCO,47015,47015,0,MERCK S.A.,0.6%-,0,,,
100009559,7702418002715,ANEMIDOX SUSPENSION 120 ML (T),FCO,40706,39140,0,MERCK S.A.,0.1%,0,,,
100010479,7891721028694,BION 3 30 TABLETAS RECUBIERTAS,CJ,16116,16116,0.16,MERCK S.A.,1.22%,0,,,
100009681,4027269910303,BION 3 60 TABLETAS RECUBIERTAS,CJ,25786,25786,0.16,MERCK S.A.,1.22%,0,,,
100009680,8027950200184,CAPOTEN 25 MG 60 TABLETAS,CJ,43102,41445,0,MERCK S.A.,1.01%,0,,,
100010345,8027950200191,CAPOTEN 50 MG 60 TABLETAS (A),CJ,73502,70675,0,MERCK S.A.,1.01%,0,,,
100010353,7702418005754,CEBIOFORTE 1 GR 10 TABLETAS EFERVES.,TBO,11429,9974,0.16,MERCK S.A.,1.35%,0,,,
100010352,7702418004528,CEBION 1 GR 10 TABLETAS EFERVES.NARANJA,TBO,9914,9914,0,MERCK S.A.,1.20%,0,,,
100011171,7702418004511,CEBION CALCIO 10 TABLETAS,TBO,13585,12926,0,MERCK S.A.,1.12%,0,,,
100011168,7702418004696,CEBION GOTAS 30 ML,FCO,12751,10928,0,MERCK S.A.,1.13%,0,,,
100012608,7702418004672,CEBION GOTAS FRESA 30 ML,FCO,12751,12751,0,MERCK S.A.,1.10%,0,,,
100012943,7702418004931,CEBION LIGHT EFERVES.NARANJA 10 TBS,CJ,10779,10022,0,MERCK S.A.,1.20%,0,,,
100013748,7702418001640,CEBION MASTICABLE FRESA 100 TABLETAS,CJ,50653,30392,0,MERCK S.A.,1.40%,0,,,
100021290,7702418001657,CEBION MASTICABLE MANDARINA 100 TABLETAS,CJ,50653,30392,0,MERCK S.A.,1.40%,0,,,
100013747,7702418000100,CEBION MASTICABLE NARANJA 100 TABLETAS,CJ,50653,30392,0,MERCK S.A.,1.40%,0,,,
100021830,7702418004702,CEBION MINIS 10 SBS 45 TABLETAS (A),DIS,66404,66404,0,MERCK S.A.,1.10%,0,,,
100021831,7702418003521,CILOSTAL 100 MG 30 TABLETAS (M),CJ,76464,76464,0,MERCK S.A.,1.04%,0,,,
100015760,7702418003545,CILOSTAL 50 MG 30 TABLETAS  (T),CJ,55465,53331,0,MERCK S.A.,1.01%,0,,,
100016071,7702418005051,CONCOR 1.25 MG 30 TABLETAS (M),CJ,52914,52914,0,MERCK S.A.,1.02%,0,,,
100016213,7702418000988,CONCOR 10 MG 30 TABLETAS (A) (M),CJ,152175,146322,0,MERCK S.A.,1.02%,0,,,
100016214,7702418005068,CONCOR 2.5 MG 30 TABLETAS (T) (M),CJ,60894,58551,0,MERCK S.A.,1.02%,0,,,
100016502,7702418000872,CONCOR 5 MG 30 TABLETAS (M),CJ,106499,102403,0,MERCK S.A.,1.02%,0,,,
100016914,5995327155340,CONCOR AM 5 MG/5 MG 30 TABLETAS,CJ,118086,113544,0,MERCK S.A.,1.04%,0,,,
100016501,7453005301079,COUMADIN 2.5 MG 30 TABLETAS (E3) (M),CJ,46651,46651,0,MERCK S.A.,0.2%-,0,,,
100018614,7795305141864,COUMADIN 5 MG 30 TABLETAS (M),CJ,46651,46651,0,MERCK S.A.,0.2%-,0,,,
100018511,7501298222462,DIABION 30 CAPSULAS IVA,CJ,27082,27082,0.16,MERCK S.A.,1.30%,0,,,
100018074,7501298217369,DIABION CREMA 200 ML,UN,29633,29633,0.16,MERCK S.A.,1.30%,0,,,
100020911,7702418001114,DIP 30 TABLETAS MASTICABLES MENTA,CJ,33549,33549,0,MERCK S.A.,0.2%-,0,,,
100018580,7702418000841,DIP SUSPENSION 200 ML (T),FCO,63467,61026,0,MERCK S.A.,0.2%-,0,,,
100018116,7702418003989,DOMATRA PLUS 10 TABLETAS,CJ,33408,32123,0,MERCK S.A.,0.1%,0,,,
100015410,8027950200122,DURACEF 250 MG POLVO SUSP 100ML (M),FCO,49730,49730,0,MERCK S.A.,0.1%,0,,,
100018962,8027950200115,DURACEF 500 MG 12 CAPSULAS (M),CJ,68943,68943,0,MERCK S.A.,0.1%,0,,,
100018950,8027950200139,DURACEF 500 MG POLVO SUSP.80 ML (A) (M),FCO,67016,67016,0,MERCK S.A.,0.1%,0,,,
100018961,7702418003613,ENCEFABOL 200 MG 30 TABLETAS (A),CJ,90611,90611,0,MERCK S.A.,o.1%,0,,,
100019739,7702418000254,ENCEFABOL 600 MG 10 TABLETAS (A),CJ,99366,87443,0,MERCK S.A.,1.12%,0,,,
100021034,7702418000247,ENCEFABOL ADULTO JARABE 90 ML,FCO,49789,47874,0,MERCK S.A.,0.2%,0,,,
100020491,7702418000230,ENCEFABOL PEDIATRICO JARABE 170 ML,FCO,58720,56461,0,MERCK S.A.,1.12%,0,,,
100020500,7702418001558,EUTIROX 100 MCG 50 TABLETAS (T) (M),CJ,36992,36992,0,MERCK S.A.,0.9%-,0,,,
100021714,7501298221939,EUTIROX 112 MCG 50 TABLETAS (M),CJ,40682,40682,0,MERCK S.A.,1.10%,0,,,
100021715,7702418001992,EUTIROX 125 MCG 50 TABLETAS (M),CJ,44336,42631,0,MERCK S.A.,0.5%-,0,,,
100022023,7501298221946,EUTIROX 137 MCG 50 TABLETAS (M),CJ,44384,42676,0,MERCK S.A.,1.12%,0,,,
200029433,7702418002005,EUTIROX 150 MCG 50 TABLETAS (M),CJ,53079,53079,0,MERCK S.A.,0.9%-,0,,,
200029434,7501298221960,EUTIROX 175 MCG 50 TABLETAS (M),CJ,60682,58348,0,MERCK S.A.,1.12%,0,,,
100004288,7501298221953,EUTIROX 200 MCG 50 TABLETAS (M),CJ,67968,67968,0,MERCK S.A.,1.12%,0,,,
100012015,7501298212265,EUTIROX 25 MCG 50 TABLETAS,CJ,23772,23772,0,MERCK S.A.,0.9%-,0,,,
100008732,7702418001541,EUTIROX 50 MCG 50 TABLETAS,CJ,25570,25570,0,MERCK S.A.,0.6%-,0,,,
100004295,7702418001985,EUTIROX 75 MCG 50 TABLETAS,CJ,30718,29536,0,MERCK S.A.,0.5%-,0,,,
100004291,7501298221922,EUTIROX 88 MCG 50 TABLETAS,CJ,33902,33902,0,MERCK S.A.,1.07%,0,,,
100014180,7702418004757,GIABRI 30 TABLETAS (A),CJ,116076,111612,0,MERCK S.A.,0.6%-,0,,,
100014182,7702418000575,GLUCOPHAGE 1000 MG 30 TABLETAS (M),CJ,64113,64113,0,MERCK S.A.,0.9%-,0,,,
100019686,7702418001381,GLUCOPHAGE 500 MG 30 TABLETAS (M),CJ,49648,49648,0,MERCK S.A.,0.9%-,0,,,
100019620,7702418001084,GLUCOPHAGE 850 MG 30 TABLETAS (M),CJ,59377,57094,0,MERCK S.A.,1.06%,0,,,
100016776,3596540150062,GLUCOPHAGE XR 1000 MG 30 TBS (A),CJ,79859,76788,0,MERCK S.A.,1.08%,0,,,
100016775,7702418003118,GLUCOPHAGE XR 500 MG 30 TBS (M),CJ,52679,50653,0,MERCK S.A.,0.1%,0,,,
100020993,7702418004191,GLUCOPHAGE XR 750 MG 30 TBS (M),CJ,79859,79859,0,MERCK S.A.,1.04%,0,,,
100020992,3596540210049,GLUCOVANCE 1000/5 MG 30 TABLETAS,CJ,65653,65653,0,MERCK S.A.,0.6%-,0,,,
100020991,7702418001473,GLUCOVANCE 500MG/2.5 30 TABLETAS,CJ,51328,51328,0,MERCK S.A.,0.5%-,0,,,
100020990,7702418001206,GLUCOVANCE 500MG/5 MG 30 TBS (T),CJ,53878,51806,0,MERCK S.A.,0.5%-,0,,,
100019220,7404000043273,JALRA M 50/1000 MG 28 TABLETAS (T),CJ,48097,46247,0,MERCK S.A.,0.1%,0,,,
100002895,7404000043259,JALRA M 50/500 MG 28 TABLETAS,CJ,48097,48097,0,MERCK S.A.,0.5%-,0,,,
100002893,7404000042962,JALRA M 50/850 MG 28 TABLETAS,CJ,48097,48097,0,MERCK S.A.,0.5%-,0,,,
