registroAB,nombre,presentacion,potencia,laboratorio,monodroga,troquel,codigobarra
24813,PELMEC DUO                                  ,5/20 mg caps.x 30       ,5/20 mg,Casasco             ,amlodipina+benazepril                   ,4657671,7791909226082
24814,TIARIX                                      ,20 mg comp.x 10         ,20 mg,Casasco             ,paroxetina                              ,4066461,7791909198082
24815,TIARIX                                      ,20 mg comp.x 30         ,20 mg,Casasco             ,paroxetina                              ,4066462,7791909198150
24817,AMPLIAR                                     ,10 mg comp.x 30         ,10 mg,Casasco             ,atorvastatín                            ,4657411,7791909292094
24818,AMPLIAR                                     ,20 mg comp.x 30         ,20 mg,Casasco             ,atorvastatín                            ,4657591,7791909292230
24819,BLOKIUM GEL                                 ,1.16 g pomo x 50 g      ,1.16 g %,Casasco             ,diclofenac dietilamina                  ,4562611,7791909320476
24820,FACTOR DERMICO                              ,pomo x 20 g             ,0.1/0.1/2 g %,Casasco             ,betametasona+gentamic.+miconazol        ,4666161,7791909104632
24821,QUINOMED                                    ,gts.oft.x 10 ml         ,0.3 g %,Bausch & Lomb Ar    ,ofloxacina                              ,4228661,7798069050403
24822,HYALOMB VISC                                ,gel oft.x 10 g          ,0.3 g %,Bausch & Lomb Ar    ,"hialurónico,ác.                         ",2622545,7798069050311
24868,BRIMOPRESS                                  ,0.2% sol.oft.x 5 ml     ,0.2 g %,Poen                ,brimonidina                             ,4646101,7795368001556
24893,FRAXIPARINE TX                              ,jga.prell.x 2 - 0.6 ml  ,19000 UI/ml,GlaxoSmithKline     ,nadroparina cálcica                     ,4650141,7794640226410
24913,TORGYN                                      ,100 mg ov.vag.x 7       ,100 mg,Raffo               ,clindamicina                            ,4226421,7798084684744
24914,NOVONORM                                    ,0.5 mg comp.x 30        ,0.5 mg,Novo Nordisk        ,repaglinida                             ,4566911,7798058930167
24915,NOVONORM                                    ,0.5 mg comp.x 90        ,0.5 mg,Novo Nordisk        ,repaglinida                             ,4566912,7798058930334
24916,NOVONORM                                    ,1 mg comp.x 30          ,1 mg,Novo Nordisk        ,repaglinida                             ,4567081,7798058930211
24917,NOVONORM                                    ,1 mg comp.x 90          ,1 mg,Novo Nordisk        ,repaglinida                             ,4567082,7798058930341
24918,NOVONORM                                    ,2 mg comp.x 30          ,2 mg,Novo Nordisk        ,repaglinida                             ,4567161,7798058930228
24919,NOVONORM                                    ,2 mg comp.x 90          ,2 mg,Novo Nordisk        ,repaglinida                             ,4567162,7798058930358
24920,PROCTYL                                     ,pda.x 30 g              , No Clasificada,Takeda              ,"cincocaína,clorh.+asoc.                 ",3967061,7795300739486
24921,DOLO TOMANIL                                ,75 mg caps.x 10         ,75 mg Retard,Takeda              ,diclofenac                              ,4565841,7795300739493
24922,DIOXAFLEX FORTE                             ,comp.x 10               ,50/50 mg,Bagó                ,diclofenac sódico+codeína               ,4628121,7790375251185
24923,DIOXAFLEX FORTE                             ,comp.x 20               ,50/50 mg,Bagó                ,diclofenac sódico+codeína               ,4628122,7790375251192
24926,TRAMA KLOSIDOL                              ,comp.x 20               ,50 mg,Bagó                ,tramadol                                ,3970852,7790375251451
24927,TRAMA KLOSIDOL                              ,100 mg iny.a.x 5        ,50 mg/ml,Bagó                ,tramadol                                ,3971002,7790375251475
24928,TRAMA KLOSIDOL                              ,100 mg/ml gts.x 10 ml   ,100 mg/ml,Bagó                ,tramadol                                ,3971261,7790375251468
24942,VARICELA BIKEN                              ,f.a.x 1ds.+fco.diluyente,1000 UFP,Sanofi Pasteur      ,virus atenuados varicela                ,454885,7798015780736
25029,ATHOS                                       ,jbe.x 100 ml            ,35 mg/5 ml,Roemmers            ,hedera helix                            ,4881811,4104480705236
25076,CO APROVEL 150/12.5MG                       ,150/12.5 mg comp.x 28   ,150/12.5 mg,Sanofi-Aventis      ,irbesartán+hidroclorotiazida            ,4655691,7795353101063
25077,CO APROVEL 300/12.5MG                       ,300/12.5 mg comp.x 28   ,300/12.5 mg,Sanofi-Aventis      ,irbesartán+hidroclorotiazida            ,4655771,7795353101087
25085,BRIXIA                                      ,colirio x 6 ml          ,50 mg %,Poen                ,azelastina                              ,4669971,7795368001532
25086,GLAUCOTENSIL TD                             ,colirio x 5 ml          ,2/0.5 g %,Poen                ,dorzolamida+timolol                     ,4666661,7795368001594
25093,AMINOMUX                                    ,30 mg iny.liof.f.a.x 1  ,30 mg,Gador               ,pamidronato disódico                    ,4548191,7792183487077
25094,AMINOMUX                                    ,90 mg iny.liof.f.a.x 1  ,90 mg,Gador               ,pamidronato disódico                    ,4548351,7792183487084
25095,ALPLAX XR                                   ,0.5mg comp.lib.prol.x 20,0.5 mg Retard,Gador               ,alprazolam                              ,4547602,7792183487008
25096,ALPLAX XR                                   ,1 mg comp.lib.prol.x 20 ,1 mg Retard,Gador               ,alprazolam                              ,4547782,7792183487015
25097,ALPLAX XR                                   ,2 mg comp.lib.prol.x 20 ,2 mg Retard,Gador               ,alprazolam                              ,4547862,7792183487022
25122,LEUCOVORINA DELTA FARMA                     ,15 mg comp.x 10         ,15 mg,Sidus               ,leucovorina                             ,4670281,7796035482593
25208,XEDENOL                                     ,50mgcomp.rec.gastror.x15,50 mg,Baliarda            ,diclofenac sódico                       ,4635631,7795338013497
25209,XEDENOL                                     ,50mgcomp.rec.gastror.x30,50 mg,Baliarda            ,diclofenac sódico                       ,4635632,7795338013503
25210,XEDENOL                                     ,75 mg comp.lib.prol.x 15,75 mg Retard,Baliarda            ,diclofenac sódico                       ,4635711,7795338013510
25211,XEDENOL                                     ,75 mg comp.lib.prol.x 30,75 mg Retard,Baliarda            ,diclofenac sódico                       ,4635712,7795338013527
25212,XEDENOL                                     ,75 mg iny.a.x 5 x 3 ml  ,25 mg/ml,Baliarda            ,diclofenac sódico                       ,3032222,7795338013534
25213,XEDENOL FLEX                                ,comp.x 10               ,50/4 mg,Baliarda            ,diclofenac+pridinol                     ,4678041,7795338013541
25214,XEDENOL FLEX                                ,comp.x 30               ,50/4 mg,Baliarda            ,diclofenac+pridinol                     ,4678043,7795338013558
25215,XEDENOL B12                                 ,comp.rec.x 20           , No Clasificada,Baliarda            ,diclofenac+vit.b12+betametasona         ,4653372,7795338013732
25216,XEDENOL B12                                 ,iny.a.x 5               , No Clasificada,Baliarda            ,diclofenac+vit.b12+betametasona         ,4085192,7795338013725
25224,ONEFIN                                      ,5 mg comp.x 28          ,5 mg,Raymos              ,donepecilo                              ,4672343,7795367002035
25225,ONEFIN                                      ,10 mg comp.x 28         ,10 mg,Raymos              ,donepecilo                              ,4672423,7795367002042
25260,ISET                                        ,250 mg comp.x 8         ,250 mg,Casasco             ,claritromicina                          ,4535981,7791909222848
25261,ISET                                        ,250 mg comp.x 16        ,250 mg,Casasco             ,claritromicina                          ,4535982,7791909222916
25262,ISET                                        ,500 mg comp.x 16        ,500 mg,Casasco             ,claritromicina                          ,4536051,7791909222770
25272,GENTEAL                                     ,fco.gotero x 25 ml      ,3 mg/ml,Novartis            ,hidroxipropilmetilcelulosa              ,4629531,7795306970548
25277,OFAL GEL                                    ,0.1% fco.gotero x 5 g   ,0.1 g %,Novartis            ,"timolol,maleato                         ",4602541,7795306970500
25294,DENTILAC                                    ,pomo x 60 g             ,30 g %,Laboratorios Ber    ,copolím.metilvinil eter maleico         ,9925294,7792175001762
25367,SINALGICO SL                                ,10 mg comp.subl.x 10    ,10 mg/sublinguales,Laboratorios Ber    ,ketorolac                               ,4665332,7792175005128
25369,SINALGICO SL                                ,10 mg comp.subl.x 20    ,10 mg/sublinguales,Laboratorios Ber    ,ketorolac                               ,4665333,7792175005135
25392,CALMADOR RETARD                             ,100 mg comp.rec.x 10    ,100 mg Retard,Finadiet            ,tramadol                                ,4668722,7791171000755
25416,CORBIS                                      ,5 mg comp.rec.x 30      ,5 mg,Roemmers            ,bisoprolol                              ,4676306,7795345010830
25417,CORBIS                                      ,10 mg comp.rec.x 30     ,10 mg,Roemmers            ,bisoprolol                              ,4676486,7795345010847
25423,RISPERDAL                                   ,0.25 mg comp.x 20       ,0.25 mg,Janssen-Cilag       ,risperidona                             ,4581341,7795314891941
25424,RISPERDAL                                   ,0.5 mg comp.x 20        ,0.5 mg,Janssen-Cilag       ,risperidona                             ,4581421,7795314891958
25426,ASEPTOBRON N SPRAY                          ,spray x 45 ml           , No Clasificada,Temis-Lostaló       ,benzocaína+asoc.                        ,9925426,7795337907698
25427,MEIBI                                       ,50 mg comp.x 30         ,50 mg,Raymos              ,minociclina                             ,4672262,7795367053907
25436,FERRANIN COMPLEX                            ,comp.rec.x 60           ,100/0.2/0.5 mg,Takeda              ,"hierro+vit.b12+fólico,ác.               ",2445332,7795300739516
25488,ISET U.D.                                   ,500 mg comp.x 4         ,500 mg Retard,Casasco             ,claritromicina                          ,4691311,7791909222534
25489,ISET U.D.                                   ,500 mg comp.x 8         ,500 mg Retard,Casasco             ,claritromicina                          ,4691312,7791909222602
25497,STRUCTUM                                    ,500 mg caps.x 30        ,500 mg,Pierre Fabre Méd    ,"condroitín,sulfato                      ",4327821,7798067995317
25498,STRUCTUM                                    ,500 mg caps.x 60        ,500 mg,Pierre Fabre Méd    ,"condroitín,sulfato                      ",4327822,7798067995324
25510,FLUIDASA                                    ,300 mg caps.x 20        ,300 mg,Montpellier         ,erdosteína                              ,4439371,7795378002079
25511,FLUIDASA                                    ,susp.x 100 ml           ,175 mg/5 ml,Montpellier         ,erdosteína                              ,4612941,7795378002086
25521,VETIPROST                                   ,5 mg comp.x 30          ,5 mg,Ivax Arg.           ,finasteride                             ,4698682,7795342003873
25548,NOCTE                                       ,10 mg comp.x 30         ,10 mg,Bagó                ,zolpidem                                ,3935382,7790375261993
25584,PARACLIM                                    ,2.5 mg comp.x 30        ,2.5 mg,Elea                ,tibolona                                ,4660041,7796285049546
25587,OCUPROST                                    ,gts.oft.x 2.5 ml        ,50 mcg/ml,Bausch & Lomb Ar    ,latanoprost                             ,4852601,7798069050571
25589,SINGLAUC                                    ,2% gts.oft.x 5 ml       ,2 g %,Bausch & Lomb Ar    ,"carteolol,clorh.                        ",4823651,7798069050267
25590,OFTALMOTONIL                                ,sol.oft.x 5 ml          ,0.2 g %,Bausch & Lomb Ar    ,brimonidina                             ,4861691,7798069050342
25591,TIMED D                                     ,sol.oft.x 5 ml          ,2/0.5 g %,Bausch & Lomb Ar    ,dorzolamida+timolol                     ,4849071,7798069050489
25621,ALFICETIN                                   ,iny.a.x 1               ,100 mg,Nova Argentia       ,colistina metansulfonato                ,2520233,7798129410017
25634,VIRAMUNE                                    ,200 mg comp.x 60        ,200 mg,Boehringer Ingel    ,nevirapina                              ,4196652,7795304866157
25635,VIRAMUNE                                    ,susp.x 240 ml           ,50 mg/5 ml,Boehringer Ingel    ,nevirapina                              ,4636381,7795304866133
25648,AVANDIA                                     ,4 mg comp.x 14          ,4 mg,GlaxoSmithKline     ,rosiglitazona                           ,4630841,7794640202117
25649,AVANDIA                                     ,4 mg comp.x 28          ,4 mg,GlaxoSmithKline     ,rosiglitazona                           ,4630842,7794640202124
25665,TOPAMAC SPRINKLE                            ,15 mg caps.disp.x 60    ,15 mg,Janssen-Cilag       ,topiramato                              ,4646361,7795314891972
25666,TOPAMAC SPRINKLE                            ,25 mg caps.disp.x 60    ,25 mg,Janssen-Cilag       ,topiramato                              ,4684061,7795314891989
25681,CITRAMAR D 400                              ,comp.x 60               ,315/400 mg/UI,Investi             ,"calcio,citrato+vit.d3                   ",4707081,7795309001461
25682,VAXIGRIP                                    ,jga.prell.x 0.5 ml      , No Clasificada,Sanofi Pasteur      ,antígenos virus influenza               ,450156,7798015780552
25691,AVELOX                                      ,400 mg comp.rec.x 5     ,400 mg,Bayer (PH)          ,moxifloxacina                           ,4629951,7793640233381
25700,SPORANOX                                    ,sol.oral x 150 ml       ,10 mg/ml,Janssen-Cilag       ,itraconazol                             ,4248541,7795314891774
25704,VALEDERM                                    ,0.1% cr.x 30 g          ,100 mg %,Stiefel Arg.        ,betametasona                            ,4266521,7896251801809
25705,VALEDERM                                    ,loc.cap.x 60 ml         ,100 mg %,Stiefel Arg.        ,betametasona                            ,4266601,7896251801816
25708,TRIFAMOX DUO                                ,875 mg comp.x 14        ,875 mg,Bagó                ,amoxicilina                             ,4684481,7790375251260
25710,CLARITROMICINA SANDOZ FUERTE                ,250 mg susp.x 60 ml     ,250 mg/5 ml,Sandoz              ,claritromicina                          ,4644621,7792069066051
25711,AMINOTERAPIA                                ,comp.x 30               , No Clasificada,Raymos              ,cistina+asoc.                           ,3614366,7791763000873
25715,TRITAB                                      ,susp.oral x 15 ml       ,200 mg/5 ml,Sidus               ,azitromicina                            ,4600301,7795356000943
25747,GENOZYM                                     ,comp.x 20               ,50 mg,Investi             ,clomifeno                               ,51675,7795380010536
25748,ARGEFLOX                                    ,500 mg comp.x 20        ,500 mg,Nova Argentia       ,ciprofloxacina                          ,3062002,7798129410031
25766,TOLTEM                                      ,comp.rec.x 15           ,2 mg,Temis-Lostaló       ,tolterodina                             ,4663351,7795337908442
25767,TOLTEM                                      ,comp.rec.x 30           ,2 mg,Temis-Lostaló       ,tolterodina                             ,4663352,7795337908459
25768,TOTAL MAGNESIANO ENERGIZANTE                ,comp.eferv.x 24         , No Clasificada,Temis-Lostaló       ,magnesio+asoc.                          ,4585061,7795337908435
25769,TOTAL MAGNESIANO STRESS                     ,pvo.efer.sob.x 48       , No Clasificada,Temis-Lostaló       ,magnesio+asoc.                          ,2963942,7795337908336
25771,BLASTOP                                     ,comp.rec.x 30           ,2.5/0.4/25 mg,Trb-Pharma          ,"fólico,ác.+vit.b                        ",4704852,7795371458378
25775,FLOCUR RAPID                                ,comp.x 10               ,200 mg,Beta                ,"tolfenámico,ác.                         ",4696361,7795328053229
25776,TRIAL GEL                                   ,gel x 80 g              ,60 mg %,Beta                ,estradiol                               ,3969882,7795328055919
25780,BUDESON AQUA                                ,50mcg spray nas.x 100ds.,50 mcg/dosis,Takeda              ,budesonide                              ,4701381,7795300739745
25781,BUDESON AQUA                                ,100mcg spray nas.x100ds.,100 mcg/dosis,Takeda              ,budesonide                              ,4701461,7795300739752
25856,ASMATOL                                     ,aer.x 200 ds.           ,100 mcg/dosis,Roux Ocefa          ,salbutamol                              ,1611411,7793213590811
25860,EXELON                                      ,1.5 mg caps.x 56        ,1.5 mg,Novartis            ,rivastigmina                            ,4348952,7795306270051
25861,EXELON                                      ,3 mg caps.x 56          ,3 mg,Novartis            ,rivastigmina                            ,4361302,7795306270082
25862,EXELON                                      ,4.5 mg caps.x 56        ,4.5 mg,Novartis            ,rivastigmina                            ,4361482,7795306270129
25863,EXELON                                      ,6 mg caps.x 56          ,6 mg,Novartis            ,rivastigmina                            ,4361562,7795306270181
25865,HIFAMONIL CREMA                             ,cr.x 20 g               ,0.1/0.1/2 g %,Raymos              ,betametasona+gentamic.+miconazol        ,4700471,7791763337726
25866,VALPEX                                      ,5 mg comp.rec.x 30      ,5 mg,Ivax Arg.           ,donepecilo                              ,4707161,7795350003506
25867,VALPEX                                      ,10 mg comp.rec.x 30     ,10 mg,Ivax Arg.           ,donepecilo                              ,4707241,7795350003513
25868,DEBRIDAT AP                                 ,300 mg comp.lib.prol.x20,300 mg Retard,Pfizer              ,trimebutina                             ,3389561,7795381410625
25869,IDESOLE PLUS                                ,comp.x 30               ,45/30 mg,Phoenix             ,idebenona+nimodipina                    ,4690321,7791848314154
25870,IDESOLE PLUS                                ,comp.x 60               ,45/30 mg,Phoenix             ,idebenona+nimodipina                    ,4690322,7791848314161
25871,NIFED SOL                                   ,30 mg comp.x 30         ,30 mg,Phoenix             ,nifedipina                              ,4151001,7791848255013
25872,NIFED SOL                                   ,60 mg comp.x 30         ,60 mg,Phoenix             ,nifedipina                              ,4151181,7791848255020
25873,XANOL                                       ,6 mcg caps.x 60         ,6 mcg/dosis,Phoenix             ,formoterol                              ,4400322,7791848262035
25874,XANOL                                       ,12 mcg caps.x 60        ,12 mcg/dosis,Phoenix             ,formoterol                              ,4400242,7791848262042
25875,DAFEX                                       ,5 mg comp.dispers.x 30  ,5 mg,Phoenix             ,lamotrigina                             ,5094521,7791848279057
25881,NOVA PARATROPINA                            ,1% gts.x 20 ml          ,10 mg/ml,Lazar               ,propinox                                ,4360652,7795347939948
25882,NOVA PARATROPINA                            ,10 mg caps.blandas x 10 ,10 mg,Lazar               ,propinox                                ,4360811,7795347939955
25883,NOVA PARATROPINA COMPOSITUM                 ,comp.rec.x 20           ,10/125 mg,Lazar               ,propinox+clonixinato de lisina          ,4357022,7795347939924
25884,NOVA PARATROPINA COMPOSITUM                 ,comp.rec.x 50           ,10/125 mg,Lazar               ,propinox+clonixinato de lisina          ,4357025,7795347939931
25885,NOVA PARATROPINA COMPOSITUM                 ,iny.x 3 dosis           ,7.5/50 mg/ml,Lazar               ,propinox+clonixinato de lisina          ,4357103,7795347939917
25886,XICLOVIR                                    ,250 mg liof.f.a.x 1+dil.,250 mg,Lazar               ,aciclovir                               ,4091371,7795347970736
25887,XICLOVIR                                    ,500 mg liof.f.a.x 1+dil.,500 mg,Lazar               ,aciclovir                               ,4091451,7795347965909
25889,BIOTIN-A                                    ,5 mg comp.x 30          ,5 mg,Raymos              ,biotina                                 ,4580275,7791763000248
25900,MAXUS VISC                                  ,gel oft.x 10 g          ,3 g %,Bausch & Lomb Ar    ,"condroitín,sulfato+asoc.                ",4296644,7798069050274
25905,TAMIFLU                                     ,75 mg caps.x 10         ,75 mg,Investi             ,oseltamivir                             ,4662281,7792371382863
25910,SUPRADYN FORTE                              ,grag.x 30               , No Clasificada,Bayer Consumer      ,vit.+minerales                          ,4571361,7793640010814
25911,SUPRADYN FORTE                              ,Efer.comp.x 10 Nar.s/az., No Clasificada,Bayer Consumer      ,vit.+minerales                          ,3933721,7793640058304
25912,SUPRADYN FORTE                              ,Efer.comp.x 30 Nar.s/az., No Clasificada,Bayer Consumer      ,vit.+minerales                          ,3933722,7793640058311
25915,METAFLEX PLUS                               ,comp.rec.x 20           ,50/4 mg,Montpellier         ,diclofenac+pridinol                     ,3981901,7795378004448
25916,METAFLEX PLUS                               ,comp.rec.x 40           ,50/4 mg,Montpellier         ,diclofenac+pridinol                     ,3981902,7795378004431
25917,CLONAGIN 1                                  ,1 mg comp.x 30          ,1 mg,Baliarda            ,clonazepam                              ,4656841,7795338013572
25918,METAFLEX 75                                 ,75 mg comp.rec.x 20     ,75 mg,Montpellier         ,diclofenac sódico                       ,4632322,7795378004462
25919,CLONAGIN 1                                  ,1 mg comp.x 60          ,1 mg,Baliarda            ,clonazepam                              ,4656842,7795338013589
25920,METAFLEX 75                                 ,75 mg comp.rec.x 40     ,75 mg,Montpellier         ,diclofenac sódico                       ,4632324,7795378004455
25921,METAFLEX                                    ,susp.x 90 ml            ,25 mg/5 ml,Montpellier         ,diclofenac potásico                     ,4600481,7795378004486
25923,GLEMAZ                                      ,4 mg comp.trirran.x 15  ,4 mg,Montpellier         ,glimepiride                             ,4336811,7795378002055
25924,GLEMAZ                                      ,4 mg comp.trirran.x 30  ,4 mg,Montpellier         ,glimepiride                             ,4336812,7795378002062
25982,NATURA FENAC                                ,gts.oft.x 5 ml          ,1 mg/ml,Amhof               ,diclofenac sódico                       ,470120,7798028700288
25983,INMUNOARTRO                                 ,20 mg comp.rec.x 30     ,20 mg,Beta                ,leflunomida                             ,4702292,7795328052352
25984,INMUNOARTRO                                 ,100 mg comp.rec.x 3     ,100 mg,Beta                ,leflunomida                             ,4702371,7795328052376
25985,ANTILERG                                    ,colirio x 10 ml         ,0.5 mg/ml,Raymos              ,ketotifeno                              ,4573502,7791763000415
26004,NEDIS                                       ,400 mg ov.x 3           ,400 mg,Omega               ,miconazol                               ,4722411,7795339005088
26005,FEMIXOL                                     ,150 mg comp.x 1         ,150 mg,Omega               ,fluconazol                              ,4722331,7795339005064
26006,FEMIXOL                                     ,150 mg comp.x 2         ,150 mg,Omega               ,fluconazol                              ,4722332,7795339005071
26009,PACLITAXEL DELTA FARMA                      ,300 mg iny.f.a.x 1      ,6 mg/ml,Sidus               ,paclitaxel                              ,4725221,7796035482623
26027,TRIVASTAL RETARD 50                         ,comp.rec.x 60           ,50 mg Retard,Servier             ,piribedil                               ,4380792,7795384010235
26035,CARBOPLATINO DELTA FARMA                    ,50 mg iny.liof.f.a.x 1  ,50 mg,Sidus               ,carboplatino                            ,4441091,7796035474154
26036,TANATRIL 5                                  ,5 mg comp.x 30          ,5 mg,Craveri             ,imidapril                               ,4581761,7792234088710
26037,TANATRIL 10                                 ,10 mg comp.x 30         ,10 mg,Craveri             ,imidapril                               ,4581841,7792234088727
26051,ROACCUTAN                                   ,10 mg caps.x 30         ,10 mg,Investi             ,isotretinoína                           ,3046342,7660113941770
26052,ROACCUTAN                                   ,20 mg caps.x 30         ,20 mg,Investi             ,isotretinoína                           ,3046422,7660113942159
26109,BECOZYM NF                                  ,a.x 6                   , No Clasificada,Bayer Consumer      ,"vit.b,complejo                          ",4619211,7793640560036
26129,MOSAR                                       ,5 mg comp.rec.x 20      ,5 mg,Phoenix             ,mosapride                               ,4711021,7791848269010
26130,MOSAR                                       ,5 mg comp.rec.x 40      ,5 mg,Phoenix             ,mosapride                               ,4711022,7791848269027
26131,MOSAR                                       ,2.5 mg comp.rec.x 20    ,2.5 mg,Phoenix             ,mosapride                               ,4711101,7791848269034
26132,MOSAR                                       ,2.5 mg comp.rec.x 40    ,2.5 mg,Phoenix             ,mosapride                               ,4711102,7791848269041
26134,SICCAFLUID 0.25%                            ,gel oft.x 10 g          ,0.25 g %,Sidus               ,carbomer 974 P                          ,4627051,7795356997731
26137,VESALION GESIC                              ,comp.x 15               ,50/300 mg,Nova Argentia       ,diclofenac+paracetamol                  ,3889431,7798129410642
26138,AVAPRO HCT                                  ,150/12.5 mg comp.x 28   ,150/12.5 mg,Sanofi-Aventis      ,irbesartán+hidroclorotiazida            ,4669711,7795305531771
26139,AVAPRO HCT                                  ,300/12.5 mg comp.x 28   ,300/12.5 mg,Sanofi-Aventis      ,irbesartán+hidroclorotiazida            ,4669891,7795305531870
26140,MACROMAX                                    ,500 mg comp.x 6         ,500 mg,Investi             ,azitromicina                            ,4020662,7798009273336
26145,MICROSER                                    ,8 mg comp.x 50          ,8 mg,Takeda              ,betahistina                             ,4646286,7795300739844
26146,TRAMAL                                      ,50 mg caps.x 10         ,50 mg,Takeda              ,tramadol                                ,3140051,7795300739929
26154,ARTRAIT                                     ,2.5 mg comp.x 20        ,2.5 mg,Trb-Pharma          ,metotrexato                             ,4688281,7795371458392
26155,ARTRAIT                                     ,7.5 mg comp.ran.x 10    ,7.5 mg,Trb-Pharma          ,metotrexato                             ,4688364,7795371458385
26156,ARTRAIT                                     ,10 mg comp.ran.x 10     ,10 mg,Trb-Pharma          ,metotrexato                             ,4688444,7795371458408
26157,ARTRAIT                                     ,15 mg f.a.x 5 x 2 ml    ,7.5 mg/ml,Trb-Pharma          ,metotrexato                             ,4688602,7795371458415
26158,BREMINAL                                    ,2 mg comp.x 30          ,2 mg,Gobbi               ,tolterodina                             ,4678201,7795376001067
26159,BREMINAL                                    ,2 mg comp.x 60          ,2 mg,Gobbi               ,tolterodina                             ,4678202,7795376001074
26160,ZOCOR                                       ,80 mg comp.x 30         ,80 mg,Merck Sharp & Do    ,simvastatin                             ,4624744,7797991146604
26161,IMOVAX DT ADULTOS                           ,jga.prell.x 0.5 ml      ,20/2 UI/dosis,Sanofi Pasteur      ,toxoide tetánico+diftérico              ,4584731,7798015780743
26166,NEUROPLUS                                   ,sol.oral x 30 ml        ,10 mg/ml,Baliarda            ,memantine                               ,4651212,7795338013596
26172,IDARUBICINA DELTA FARMA                     ,5 mg iny.f.a.x 1+solv.  ,5 mg,Sidus               ,idarrubicina                            ,4742551,7796035482630
26173,IDARUBICINA DELTA FARMA                     ,10 mg iny.f.a.x 1+solv. ,10 mg,Sidus               ,idarrubicina                            ,4742471,7796035482647
26174,IRINOTECAN DELTA FARMA                      ,100 mg iny.f.a.x 1      ,20 mg/ml,Sidus               ,irinotecan                              ,4742631,             
26175,GASTROMAX                                   ,40 mg comp.x 14         ,40 mg,Gador               ,pantoprazol                             ,4745441,7792183488418
26176,GASTROMAX                                   ,40 mg comp.x 28         ,40 mg,Gador               ,pantoprazol                             ,4745442,7792183488425
26197,ARTELAC                                     ,fco.gotero x 10 ml      ,3.2 mg/ml,Bausch & Lomb Ar    ,hidroxipropilmetilcelulosa              ,4541081,7798069050014
26200,RECUGEL                                     ,gel oft.x 10 g          , No Clasificada,Bausch & Lomb Ar    ,dexpantenol+asoc.                       ,4562291,7798069050076
26201,DEXAMYTREX                                  ,sol.oft.x 5 ml          ,3/1 mg/ml,Bausch & Lomb Ar    ,gentamicina+dexametasona                ,4541161,7798069050038
26202,DEXAMYTREX                                  ,pda.oft.x 3 g           ,3/0.3 mg/ml,Bausch & Lomb Ar    ,gentamicina+dexametasona                ,4541241,7798069050045
26204,FENATROP A                                  ,comp.x 30               ,100/1.5 mg,Gador               ,trimebutina+bromazepam                  ,4747181,7792183488449
26205,FENATROP A                                  ,comp.x 60               ,100/1.5 mg,Gador               ,trimebutina+bromazepam                  ,4747182,7792183488456
26229,OXA SAT                                     ,200 mg sat x 7          ,200 mg/24 horas,Beta                ,diclofenac dietilamonio                 ,4374931,7795328053946
26230,OXA SAT                                     ,200 mg sat x 14         ,200 mg/24 horas,Beta                ,diclofenac dietilamonio                 ,4374932,7795328053953
26231,INSULINA BETALIN                            ,Hum.NPH cart.x 5 x 3 ml ,100 UI/ml NPH,Beta                ,insulina humana                         ,3112415,7795328019270
26232,INSULINA BETALIN                            ,Hum.Cte.cart.x 5 x 3 ml ,100 UI/ml,Beta                ,insulina humana                         ,3109965,7795328019171
26250,SERETIDE DISKUS                             ,50/500 mcg dosis x 60   ,500/50 mcg/dosis,GlaxoSmithKline     ,fluticasona+salmeterol                  ,4622682,7796930001523
26255,TRIFAMOX DUO                                ,susp.x 50 ml            ,1000 mg/5 ml,Bagó                ,amoxicilina                             ,4738352,7790375251284
26256,TRIFAMOX DUO                                ,susp.x 90 ml            ,1000 mg/5 ml,Bagó                ,amoxicilina                             ,4738354,7790375251291
26258,BONCORDIN                                   ,10 mg comp.x 30         ,10 mg,Sandoz              ,benazepril                              ,4743201,7792069079020
26260,AVENO                                       ,gel de limp.x 250 ml    , No Clasificada,Andrómaco           ,avena+asoc.                             ,9926260,7793742004346
26263,ACCURETIC                                   ,comp.x 28               ,20/12.5 mg,Pfizer              ,quinapril+hidroclorotiazida             ,4627631,7795381410472
26278,SECRET 28                                   ,comp.rec.x 28           ,15/60 mcg,Elea                ,etinilestradiol+gestodeno               ,4744291,7796285049768
26301,TOBRAGAN                                    ,0.3% gts.oft.x 5 ml     ,0.3 g %,Allergan-Loa        ,tobramicina                             ,3872181,7795316035862
26308,LANSEKA                                     ,2 mg comp.x 20          ,2 mg,Investi             ,loperamida                              ,4308772,7798035833870
26356,TRIFAMOX IBL DUO                            ,875 mg comp.x 14        ,875/125 mg,Bagó                ,amoxicilina+sulbactam                   ,4718392,7790375251376
26361,TRIFAMOX IBL DUO                            ,20 g susp.x 30 ml       ,1000/250 mg/5 ml,Bagó                ,amoxicilina+sulbactam                   ,4736611,7790375251420
26362,TRIFAMOX IBL DUO                            ,20 g susp.x 60 ml       ,1000/250 mg/5 ml,Bagó                ,amoxicilina+sulbactam                   ,4736613,7790375251437
26365,GLIOSARTAN                                  ,40 mg comp.x 28         ,40 mg,Bagó                ,telmisartán                             ,4645532,7790375251222
26366,GLIOSARTAN                                  ,80 mg comp.x 28         ,80 mg,Bagó                ,telmisartán                             ,4645612,7790375251239
26375,IBUFIX                                      ,600 mg comp.x 20        ,600 mg,Investi             ,ibuprofeno                              ,4681332,7798035834501
